12026/09/05 10:59:04 [node 1] become candidate, term 1
22026/09/05 10:59:05 [node 1] become candidate, term 2
2026/09/05 10:59:05 [node 1] BECAME LEADER , term 2
2026/09/05 10:59:14 [node 1] vote request from 2 , granted=true
2026/09/05 10:59:14 [node 1] vote request from 2 , granted=false
2026/09/05 10:59:14 [node 1] vote request from 3 , granted=true
2026/09/05 10:59:15 [node 1] vote request from 3 , granted=false
2026/09/05 10:59:15 [node 1] vote request from 2 , granted=true
2026/09/05 10:59:15 [node 1] vote request from 3 , granted=true
92026/09/05 10:59:16 [node 1] become candidate, term 9
2026/09/05 10:59:16 [node 1] BECAME LEADER , term 9
2026/09/05 10:59:16 [node 1] vote request from 3 , granted=true
112026/09/05 10:59:30 [node 1] become candidate, term 11
2026/09/05 10:59:30 [node 1] vote request from 2 , granted=false
2026/09/05 10:59:30 [node 1] vote request from 3 , granted=false
2026/09/05 10:59:31 [node 1] vote request from 3 , granted=false
2026/09/05 10:59:31 [node 1] vote request from 2 , granted=false
152026/09/05 10:59:31 [node 1] become candidate, term 15
2026/09/05 10:59:31 [node 1] vote request from 2 , granted=false
172026/09/05 10:59:31 [node 1] become candidate, term 17
2026/09/05 10:59:31 [node 1] vote request from 3 , granted=false
192026/09/05 10:59:31 [node 1] become candidate, term 19
2026/09/05 10:59:31 [node 1] vote request from 3 , granted=false
2026/09/05 10:59:31 [node 1] vote request from 2 , granted=false
2026/09/05 10:59:31 [node 1] vote request from 3 , granted=false
2026/09/05 10:59:31 [node 1] vote request from 2 , granted=false
242026/09/05 10:59:31 [node 1] become candidate, term 24
2026/09/05 10:59:31 [node 1] vote request from 3 , granted=false
2026/09/05 10:59:31 [node 1] vote request from 2 , granted=false
272026/09/05 10:59:31 [node 1] become candidate, term 27
2026/09/05 10:59:31 [node 1] vote request from 3 , granted=false
2026/09/05 10:59:32 [node 1] vote request from 2 , granted=false
302026/09/05 10:59:32 [node 1] become candidate, term 30
2026/09/05 10:59:32 [node 1] vote request from 3 , granted=false
322026/09/05 10:59:32 [node 1] become candidate, term 32
2026/09/05 10:59:32 [node 1] vote request from 2 , granted=false
2026/09/05 10:59:32 [node 1] vote request from 3 , granted=false
352026/09/05 10:59:32 [node 1] become candidate, term 35
2026/09/05 10:59:32 [node 1] vote request from 2 , granted=false
2026/09/05 10:59:32 [node 1] vote request from 3 , granted=false
382026/09/05 10:59:32 [node 1] become candidate, term 38
2026/09/05 10:59:32 [node 1] vote request from 2 , granted=false
2026/09/05 10:59:32 [node 1] vote request from 3 , granted=false
412026/09/05 10:59:32 [node 1] become candidate, term 41
2026/09/05 10:59:32 [node 1] vote request from 2 , granted=false
2026/09/05 10:59:33 [node 1] vote request from 2 , granted=false
442026/09/05 10:59:33 [node 1] become candidate, term 44
2026/09/05 10:59:33 [node 1] vote request from 3 , granted=false
2026/09/05 10:59:33 [node 1] vote request from 3 , granted=false
2026/09/05 10:59:33 [node 1] vote request from 2 , granted=false
482026/09/05 10:59:33 [node 1] become candidate, term 48
2026/09/05 10:59:33 [node 1] vote request from 2 , granted=false
2026/09/05 10:59:33 [node 1] vote request from 3 , granted=false
512026/09/05 10:59:33 [node 1] become candidate, term 51
2026/09/05 10:59:33 [node 1] vote request from 2 , granted=false
2026/09/05 10:59:33 [node 1] vote request from 3 , granted=false
542026/09/05 10:59:34 [node 1] become candidate, term 54
2026/09/05 10:59:34 [node 1] vote request from 2 , granted=false
2026/09/05 10:59:34 [node 1] vote request from 3 , granted=false
572026/09/05 10:59:34 [node 1] become candidate, term 57
2026/09/05 10:59:34 [node 1] vote request from 2 , granted=false
2026/09/05 10:59:34 [node 1] vote request from 3 , granted=false
602026/09/05 10:59:34 [node 1] become candidate, term 60
2026/09/05 10:59:34 [node 1] vote request from 2 , granted=false
2026/09/05 10:59:34 [node 1] vote request from 3 , granted=false
632026/09/05 10:59:34 [node 1] become candidate, term 63
2026/09/05 10:59:34 [node 1] vote request from 2 , granted=false
2026/09/05 10:59:34 [node 1] vote request from 3 , granted=false
662026/09/05 10:59:34 [node 1] become candidate, term 66
2026/09/05 10:59:35 [node 1] vote request from 2 , granted=false
2026/09/05 10:59:35 [node 1] vote request from 3 , granted=false
692026/09/05 10:59:35 [node 1] become candidate, term 69
2026/09/05 10:59:35 [node 1] vote request from 2 , granted=false
